Hola,Hello
Adios,Goodbye
Por Favor,Please
Gracias,Thank you
Ven,come
Ve,Go
Sal,Leave
Pon,Put
Da,Give
Trae,Bring
Di,Tell/say
Practica,Practice
Estudia,Study
Contesta,Answer
Aprende,Learn
Prepara,Prepare
Mira,Look at
Describe,Describe
Escucha,Listen
Habla,Speak
Lee,Read
Escribe,Write
Dibuja,Draw
Pregunta,Ask
Toma,Take
Abre,Open
Borra,Erase
Canta,Sing
Baila,Dance
Salta,Jump
Anda,Walk
Nada,Swim
Corre,Run
Bebe,Drink
¿Adónde?,Where to?
¿Cómo?,How?
¿Cuál?,Which one?
¿Cuándo?,When?
¿Dónde?,Where?
¿Por qué?,Why?
¿Qué?,What?
¿Quién?,Who?
aprender,to learn
barrer,to sweep
beber,"to drink, sip"
comer,to eat
